paper_id,filename,sha256,title,authors,year,doi,abstract,keywords,page_count,characters_extracted,words_extracted,extraction_time_s,extraction_status,error,text_path
P001,18326cnc05.pdf,5393cb0315fc692295999fdc1180cc49e4af504bbbed43ac0992542192083265,,,,,,,23,0,92,0.002993340000102762,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P001.txt
P002,1s2_0S156849462600428Xmain.pdf,4d170505d51d5acdaaa92c6da06a11d703d7a0410c22fe5c3d97887e10075ea4,,,,,,,10,0,40,0.0012043709998579288,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P002.txt
P003,A_Deployable_Edge_Computing_Solution_for_Machine_Condition_Monitoring.pdf,3869d37eb17c23605bc9f56c754accf94fd98cb5b1470959138cdafc69527c53,,,,,,,6,0,24,0.0007823860000826244,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P003.txt
P004,applsci1501702v2.pdf,c759982e2b3c39f33019b13e2cb075ee988f66a6c4748917fb4c54423d527f81,,,,,,,20,0,80,0.0015895159999672615,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P004.txt
P005,Aragonés_et_al___2025__Transforming_Industrial_Maintenance_with_Thermoelectric_Energy_Harvesting_and_NBIoT_A_Case_Study_i.pdf,01310ebed5e7c188e2a3e4fe49b5b1dd2713e55a0f1358ca3b49bb5fdb4250f8,,,,,,,22,0,88,0.0016685170000982907,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P005.txt
P006,Banerjee_et_al___2026__OnDevice_LowFrequency_Mechanical_Fault_Detection_of_Induction_Motors_using_MEMS_Sensors_and_Edge_A.pdf,3566770d85725f31e1970dcb7889fd42f74f341a2e24d8e623e76d361cf7c73b,,,,,,,5,0,20,0.0006096399999933055,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P006.txt
P007,Bhoi_et_al___2022__Advanced_Edge_Computing_Framework_for_Grid_Power_Quality_Monitoring_of_Industrial_Motor_Drive_Applic.pdf,1c930d6d36d7c2016dc1ca54542e6b2fcb55d76403c913914636fa02343cfaea,,,,,,,5,0,20,0.000603750999971453,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P007.txt
P008,De_las_Morenas_y_MoyaFernández__2022__Predictive_Maintenance_in_Electrical_Machines_An_Edge_Computing_Approach.pdf,47535d3853cec940d0713dee39dd95ecb03a851f92bd16435c6a10b0f03ca166,,,,,,,6,0,24,0.0007062529998620448,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P008.txt
P009,EchChadi_et_al___2025__A_New_Framework_Based_on_FOG_Computing_and_Edge_AI_to_Increase_the_Reliability_of_Predictive_Mainten.pdf,e170e89437a3d3c92f88462aeff4880c9624e3f4c989a63cdf031717112ea370,,,,,,,5,0,20,0.0005598590000772674,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P009.txt
P010,ElSayed__2025__Feature_Reduction_of_SVMBased_Classifier_For_Predictive_Maintenance_OF_Rotating_Machines.pdf,984f8bb63d660c0faf76454234ce19cb25839302cffd30eca51f9422b75855cb,,,,,,,4,0,16,0.0005166050000298128,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P010.txt
P011,Fan_et_al___2025__Cloud_Edge_Collaborative_Intelligent_Fault_Diagnosis_of_RotorBearing_System_Methodology_and_Experi.pdf,43a73408dea4a28d32877797886f8e3ff74ca576c6bb0ea59a18033710f75751,,,,,,,16,0,64,0.0014014809999025601,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P011.txt
P012,fenrg08584463.pdf,d746b2a086474d731c59d72c6e6af71e712a3d6c506195cdcc2a79456acf7ac5,,,,,,,11,0,44,0.0010333619998164068,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P012.txt
P013,G_et_al___2025__Enhance_Predictive_Maintenance_with_AI_Models_Utilizing_RealTime_Sensor_Data_with_Industrial_IoT_t.pdf,c8f9cb00a0423ddff142ff5397fe7f30a75779721b816b02fb06fd313238c239,,,,,,,6,0,24,0.0006684989998575475,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P013.txt
P014,Hu_et_al___2022__An_Intelligent_Anomaly_Detection_Method_for_Rotating_Machinery_Based_on_Vibration_Vectors.pdf,66b2d4634e21281208f7b8c13be20f1ae5eade1bdfa8b65d4cc9c17f536f041d,,,,,,,12,0,48,0.001173746999938885,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P014.txt
P015,Kulkarni_et_al___2026__EDGEAI_ENABLED_FAULT_DETECTION_AND_ROOT_CAUSE_ANALYSIS_IN_INDUSTRIAL_MOTORS_USING_MULTIMODAL_SENSOR.pdf,8432526c089610c5b3f825513255b2dc41fa243d4d1f3ff330af297fa13db94a,,,,,,,23,0,92,0.0017507590000604978,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P015.txt
P016,Kumar_et_al___2026__Transformer_with_multihead_attention_mechanism_for_bearing_fault_detection.pdf,9f204f1d9f2e089292edf5467380e3419cd8ce7c8241ab7d315cf6f1e81e96a1,,,,,,,10,0,40,0.0009866080001756927,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P016.txt
P017,Lee_et_al___2026__Frequencyband_graphbased_sensor_fusion_with_sensitivityaware_energy_assist_network_for_machinery.pdf,f49518deaccc7e4913f404c4dc2bbae61f2d5be77caa9131c73b7326d630a0c8,,,,,,,18,0,72,0.001533266000024014,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P017.txt
P018,Ma_et_al___2024__Gear_Fault_Diagnosis_in_Geared_Motors_Based_on_Frequency_Adaptation_Graph_Prototype_Network_with_Lim.pdf,e3f1210bfaabc5d59b5363633c0168f4537c58e95e145f8c6ac703de1450f424,,,,,,,6,0,24,0.0006674730000213458,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P018.txt
P019,Mahesh_et_al___2022__Employment_of_ANN_for_Predictive_Motor_Maintenance_and_Bearing_Fault_Detection_Using_Park_s_Vector_A.pdf,da1a02b6aa56da509fa37c55a6175ce5ad3eec7bed644ae577f9dc07e424be7a,,,,,,,6,0,24,0.000629835000154344,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P019.txt
P020,Mian_et_al___2023__Artificial_intelligence_of_things_based_approach_for_anomaly_detection_in_rotating_machines.pdf,3af17e82deee6bb015a54bdbbcfec9eead270f454d1b4f58d263dd40cbdc9efa,,,,,,,14,0,56,0.0011820910001461016,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P020.txt
P021,Nguyen_y_Kim__2025__Efficient_Bearing_Fault_Diagnosis_for_Edge_Computing_Using_Grayscale_Spectrograms_and_Hybrid_Neural.pdf,a3fd4cecd7cd4a811a474e7c97b5c277b52abb23cb8ccf0002cb6038a605ec06,,,,,,,17,0,68,0.0015203939999537397,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P021.txt
P022,Nguyen_y_Kim__2026__A_Lightweight_Heterogeneous_Neural_Network_Architecture_for_Multiscale_Feature_Extraction_in_Bearing.pdf,dd8a52b5a73e825071a789b495a872fe24484195e6ed6695d0656222302329a2,,,,,,,19,0,76,0.0015781239999341778,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P022.txt
P023,Periasamy_et_al___2026__A_Novel_Hierarchical_Temporal_Graph_PhysicsGuided_Fusion_Network_for_Predictive_Fault_Diagnosis_in.pdf,b84498142d012b2e6e087d2226a52d07779815831a778c309e7c199ba34bd0c7,,,,,,,18,0,72,0.0014585079998141737,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P023.txt
P024,s10462024107489.pdf,5ebc7402944d0dc7eed9da475659e0404180e5bf468da081ace046ec5bcf7f04,,,,,,,33,0,132,0.002509725999971124,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P024.txt
P025,Safiullin_hnical.pdf,88cd586130b64094795db5f4b7cb28d19da59d1deeb18fc692865c7c520c62cc,,,,,,,6,0,24,0.0007032239998352452,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P025.txt
P026,Tang_et_al___2022__Graph_Cardinality_Preserved_Attention_Network_for_Fault_Diagnosis_of_Induction_Motor_Under_Varying_S.pdf,5d5145b3b19b540057c285ebeb04022f2f99e0b6ca412a506bd7dcb41500eb7c,,,,,,,11,0,44,0.0010313980001228629,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P026.txt
P027,TinyML_Machine_Learning_with_TensorFlow_Lite_on_Arduino_and_Ultra-Low-Power_Microcontrollers__Pete_Warden__Daniel_Situnayake___Z-Library_.pdf,53a43b83f5e0ca858cffbb56f95a895aebd6fcc6aad712699aa743ae4591507f,,,,,,,0,0,0,0.007135195000046224,error,FileDataError: Failed to open file '/srv/data/papers/academic-screening-v0.1/raw/TinyML_Machine_Learning_with_TensorFlow_Lite_on_Arduino_and_Ultra-Low-Power_Microcontrollers__Pete_Warden__Daniel_Situnayake___Z-Library_.pdf' as type pdf.,/srv/data/papers/academic-screening-v0.1/extracted/P027.txt
P028,Xiao_et_al___2026__CDGCN_A_CNNenhanced_dynamic_graph_convolutional_network_for_multimodal_fault_diagnosis.pdf,a3fa181a68fe3ff940f0b316048924fba2e52e17e02658d2dbf6c0276dc91f33,,,,,,,16,0,64,0.0013401280000380211,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P028.txt
P029,Zahra_et_al___2025__NoiseRobust_and_Edge_Deployable_ML_Framework_for_Predictive_Maintenance_of_Industrial_Motors.pdf,231afa9a75a334e40b00151cccf4cda88f9fd9feb0e5f3eb390a7d8a656db0cd,,,,,,,9,0,36,0.0009388219998527347,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P029.txt
P030,Zhang_et_al___2026__Motor_Fault_Prediction_Based_on_Graph_Convolutional_Networks_with_Signal_Association_Mining.pdf,7b0ae3689681f52e90b00972c78f3ff0bfc2c7d95565892e140af5d9fe33cae2,,,,,,,7,0,28,0.0006960460000300372,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P030.txt
P031,Zhang_et_al___Motor_Fault_Prediction_Based_on_Graph_Convolutional_Networks_with_Signal_Association_Mining.pdf,e5924a038dc5e42ce2e8d1df775e495471f3b5dd9267264107c2620a2243de03,,,,,,,7,0,28,0.0006812379999701079,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P031.txt
P032,Zhao_y_Wang__2024__A_Deployable_Edge_Computing_Solution_for_Machine_Condition_Monitoring.pdf,8c3e3bd2dd1dc8ac70edfac5fd8d86dd203a618a077e7b9e9e72d8963223949f,,,,,,,6,0,24,0.0007129590001113684,empty_text,,/srv/data/papers/academic-screening-v0.1/extracted/P032.txt
